track_name,artistas,track_popularity,track_album_name,playlist_genre,playlist_subgenre,followers,popularity,imagem_artista_url
Escalera,Javiera Mena,27,Espejo,pop,electropop,,,
Haute (feat. J Balvin & Chris Brown),Tyga,67,Legendary,rap,hip hop,5593669.0,89.0,https://i.scdn.co/image/67c4bd718cbf584ba2d297ccbb1e6e62a9772d0a
Calma - Mambo Remix,Farruko,43,Calma (Mambo Remix),latin,tropical,7313772.0,91.0,https://i.scdn.co/image/d8d83cbcbfb3707bdc2e0b089fcd2d74ed6cf1a5
I'm Gonna Be (500 Miles),The Proclaimers,74,Finest,pop,post-teen pop,,,
Have Mercy,Eryn Allen Kane,48,Aviary: Act 1,r&b,urban contemporary,,,
Cheap Thrills,Sia,77,This Is Acting,pop,electropop,16230814.0,86.0,https://i.scdn.co/image/652b6bb0dfaf8aa444f4414ee018699260e74306
Barbaric (Radio Mix),DJ Bam Bam,0,Barbaric (Radio Mix),edm,electro house,,,
Disappear,Rob Stepwart,13,Trip Stories,edm,electro house,,,
"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",Aerosmith,74,I Don't Want To Miss A Thing,rock,classic rock,,,
Oxum,Ley Line,38,Oxum,latin,tropical,,,
Lucky Star,Adaptiv,42,Lucky Star,edm,pop edm,,,
"No New Friends (feat. Sia, Diplo, and Labrinth)",Sia,75,"LABRINTH, SIA & DIPLO PRESENT... LSD",latin,latin hip hop,16230814.0,86.0,https://i.scdn.co/image/652b6bb0dfaf8aa444f4414ee018699260e74306
You Deserve Better - Andrelli Remix,James Arthur,53,You Deserve Better (Andrelli Remix),pop,dance pop,5817545.0,84.0,https://i.scdn.co/image/dd8ceb41c23ec3352cfc19df178e7f243d6182e4
The End,SpinRox,18,The End,edm,big room,,,
Keep on Loving You,REO Speedwagon,70,Hi Infidelity (30th Anniversary Edition),rock,classic rock,,,
Con Altura,ROSALÍA,87,Con Altura,edm,pop edm,3178154.0,81.0,https://i.scdn.co/image/212e68416e861c2b2a7bf02d92448bdbe53ad163
Rock Of Ages,Def Leppard,43,Pyromania,rock,album rock,,,
Stay With Me,ayokay,68,In the Shape of a Dream,pop,indie poptimism,,,
Nunca Me Amo,Jon Z,64,Nunca Me Amo,rap,trap,2044993.0,75.0,https://i.scdn.co/image/0c6c4282aeb7eebfb21fda8883ade47f603a2c22
Never Gonna Give You Up,Mac Beez,50,Never Gonna Give You Up,latin,tropical,,,
Ni Una Sola Palabra,Paulina Rubio,52,Pau Factor,latin,latin pop,,,
Com a Mala,Costa Gold,61,Com a Mala,rap,trap,1740737.0,64.0,https://i.scdn.co/image/364696ef367cc33217e46c67509434c92eee1cbd
Dust N' Bones,Guns N' Roses,52,Use Your Illusion I,rock,album rock,16386563.0,82.0,https://i.scdn.co/image/80920b4fc80b6d970e2934eb8abe27014fc60632
Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),pop,dance pop,5817545.0,84.0,https://i.scdn.co/image/dd8ceb41c23ec3352cfc19df178e7f243d6182e4
Funeral March - Original Mix,Black Tiger Sex Machine,26,Funeral March,edm,electro house,,,
Years,Astrid S,69,Down Low,r&b,hip pop,565300.0,74.0,https://i.scdn.co/image/5810a64a450f88b5662b9d76fa61d5e741471b16
Twenty One,Khalid,67,Free Spirit,r&b,urban contemporary,11227838.0,93.0,https://i.scdn.co/image/05da6a798c59e8ab7102d77c8deb79d67a1360ed
Viraal,Frenna,57,Viraal,latin,latin hip hop,409353.0,76.0,https://i.scdn.co/image/e710702d47c7b2a697e8a99d4993a93bd62ca465
Why Can't This Be Love,Van Halen,65,5150,rock,classic rock,,,
Avalon,Dave Garnier,23,Avalon,edm,big room,,,
Echoes Of Silence,The Weeknd,55,Trilogy,r&b,urban contemporary,20105504.0,98.0,https://i.scdn.co/image/d9a875c37277c35b94c60c00d2cd256db098505d
Higher,Third Party,52,TOGETHER,edm,big room,,,
Water on Water on Water,Young Dolph,67,Dum and Dummer,rap,southern hip hop,1251294.0,71.0,https://i.scdn.co/image/fa18ee3aeeefb11b07c8d9169dc474d2cf7be34f
Summer Dayz,Jamie Jones,0,Jamie Jones,r&b,neo soul,,,
Mi Fanatica,Arcangel,58,Mas Flow - Los Benjamins,latin,reggaeton,4753354.0,87.0,https://i.scdn.co/image/b6f1a47bc8e6d673bfc6c71d1dff3b006fc3a896
Love Me Too,Joseph Tilley,40,Love Me Too,pop,post-teen pop,,,
It's All Over (But the Crying),Lee Fields & The Expressions,25,Faithful Man,r&b,neo soul,,,
Amor De Pobre,Zion,0,The Perfect Melody,latin,reggaeton,1684949.0,79.0,https://i.scdn.co/image/01b740506d62b329302d55078eb8dc49d32a4f8b
Blah Blah Blah,Armin van Buuren,63,Blah Blah Blah,edm,electro house,3411421.0,79.0,https://i.scdn.co/image/4c6dab89eacc99971af32ab6fe0df0553531fbda
Fanático,Maxiolly,53,Fanático,rap,trap,,,
Almost Love,Ashlie Amber,31,Almost Love,rock,hard rock,,,
Too Fast,Sonder,63,Too Fast,r&b,neo soul,,,
Birch Tree,Foals,59,What Went Down,pop,indie poptimism,1031765.0,70.0,https://i.scdn.co/image/403a242ef6e450a7d4ffd8e2975ed77ad6a32146
Tú No Ajaunta (Checkmate) - Spanish Edit,Cypress Hill,34,Los Grandes Éxitos En Español,latin,latin hip hop,,,
C.R.E.A.M.,Wu-Tang Clan,72,Enter The Wu-Tang (36 Chambers) [Expanded Edition],rap,gangster rap,,,
If I Ever Fall In Love,Somewhere over England,32,Somewhere Over England,pop,electropop,,,
Someone New,Hogland,41,Someone New,edm,electro house,,,
Uhhh,DJ DYLVN,35,Uhhh,latin,latin hip hop,,,
Titanium (feat. Sia) - Alesso Remix,David Guetta,46,Titanium (feat. Sia),edm,pop edm,21217257.0,88.0,https://i.scdn.co/image/3a8476a71714e7718a41a1157c40f93abb8cc750
Don't Be Afraid,Aaron Hall,19,90's Soul Number 1's,r&b,new jack swing,,,
Babushka Boi,A$AP Rocky,77,Babushka Boi,rap,trap,6806719.0,85.0,https://i.scdn.co/image/cce607c4d975ae49d68b484eaef51a6413fa73b1
Gold Skies - Tiësto Remix,Sander van Doorn,0,Gold Skies (Remixes),edm,electro house,,,
Hava (feat. Dr Phunk),Steve Aoki,20,Hava (feat. Dr Phunk),edm,progressive electro house,3394282.0,81.0,https://i.scdn.co/image/bd878e687c252c80424d3dfd3758032f59447211
Stop Lying,Mr. Mike,28,Wicked Wayz,rap,southern hip hop,,,
霧のDOWN TOWN,オメガトライブ,28,First Finale,rock,album rock,,,
Perdoname,Mora,63,Perdoname,rap,trap,,,
HAD ENOUGH (feat. Quavo & Offset),Don Toliver,83,JACKBOYS,rap,hip hop,444841.0,84.0,https://i.scdn.co/image/2303addfefa7fa8702c8b9145e6b2902d1e4738b
Te busco (feat. Nicky Jam),Cosculluela,58,Blanco Perla,latin,reggaeton,3039925.0,74.0,https://i.scdn.co/image/ca8766a4de6487a2dffa54732c686cf610734dc4
Flow - Remastered,Sade,37,The Ultimate Collection,r&b,neo soul,,,
Cinderella - Retrovision Remix,Janee,42,Cinderella (Retrovision Remix),edm,progressive electro house,,,
Ramblin' Gamblin' Man,Bob Seger,15,Ramblin' Gamblin' Man,rock,classic rock,,,
Only in My Dreams,The Marías,63,"Superclean, Vol. I",rock,permanent wave,,,
Your Prime,Anderson .Paak,47,Malibu,r&b,urban contemporary,1404131.0,79.0,https://i.scdn.co/image/4f7b3e759d12f5c996f07b6b9d082ff35ced0031
Me Enamoré De Ti,David Bisbal,66,Me Enamoré De Ti,latin,latin pop,,,
I Don't Want to Talk About It - 2008 Remaster,Rod Stewart,66,Atlantic Crossing,rock,classic rock,2000535.0,76.0,https://i.scdn.co/image/3ca37b557da4d1d62000919ee1cac217894ca7f1
Runaway,Bon Jovi,0,Bon Jovi Greatest Hits - The Ultimate Collection,rock,classic rock,7682913.0,80.0,https://i.scdn.co/image/255476a832d9647d73ed03ae51727cb911c565df
Feel So Close - Radio Edit,Calvin Harris,75,18 Months,pop,electropop,19909725.0,87.0,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
Mambo No. 5 (A Little Bit of...),Lou Bega,10,Ultimate Holiday Hits,pop,dance pop,,,
